Frequency,AngleOfAttack,ChordLength, FreeStreamVelocity,SuctionSideDisplacementThickness,ScaledSoundPressureLevel
8000,3.3,1.016,55.5,2.211,120.569
10000,3.3,1.016,55.5,2.211,115.659
630,3.3,1.016,39.6,245.138,127.251
800,3.3,1.016,39.6,245.138,129.991
1000,3.3,1.016,39.6,245.138,131.971
1250,3.3,1.016,39.6,245.138,133.211
1600,3.3,1.016,39.6,245.138,133.071
2000,3.3,1.016,39.6,245.138,132.301
2500,3.3,1.016,39.6,245.138,130.791
3150,3.3,1.016,39.6,245.138,128.401
4000,3.3,1.016,39.6,245.138,124.881
5000,3.3,1.016,39.6,245.138,122.371
6300,3.3,1.016,39.6,245.138,120.851
8000,3.3,1.016,39.6,245.138,118.091
10000,3.3,1.016,39.6,245.138,115.321
630,3.3,1.016,31.7,251.435,128.952
800,3.3,1.016,31.7,251.435,131.362
1000,3.3,1.016,31.7,251.435,133.012
1250,3.3,1.016,31.7,251.435,134.022
1600,3.3,1.016,31.7,251.435,133.402
2000,3.3,1.016,31.7,251.435,131.642
2500,3.3,1.016,31.7,251.435,130.392
3150,3.3,1.016,31.7,251.435,128.252
4000,3.3,1.016,31.7,251.435,124.852
5000,3.3,1.016,31.7,251.435,122.082
6300,3.3,1.016,31.7,251.435,120.702
8000,3.3,1.016,31.7,251.435,117.432
630,6.7,1.016,71.3,478.288,131.448
800,6.7,1.016,71.3,478.288,134.478
1000,6.7,1.016,71.3,478.288,136.758
1250,6.7,1.016,71.3,478.288,137.658
1600,6.7,1.016,71.3,478.288,136.678
2000,6.7,1.016,71.3,478.288,134.568
2500,6.7,1.016,71.3,478.288,131.458
3150,6.7,1.016,71.3,478.288,124.458
500,6.7,1.016,55.5,52.139,129.343
630,6.7,1.016,55.5,52.139,133.023
800,6.7,1.016,55.5,52.139,135.953
1000,6.7,1.016,55.5,52.139,137.233
1250,6.7,1.016,55.5,52.139,136.883
1600,6.7,1.016,55.5,52.139,133.653
2000,6.7,1.016,55.5,52.139,129.653
2500,6.7,1.016,55.5,52.139,124.273
400,6.7,1.016,39.6,578.076,128.295
500,6.7,1.016,39.6,578.076,130.955
630,6.7,1.016,39.6,578.076,133.355
800,6.7,1.016,39.6,578.076,134.625
1000,6.7,1.016,39.6,578.076,134.515
1250,6.7,1.016,39.6,578.076,132.395
1600,6.7,1.016,39.6,578.076,127.375
2000,6.7,1.016,39.6,578.076,122.235
315,6.7,1.016,31.7,592.927,126.266
400,6.7,1.016,31.7,592.927,128.296
500,6.7,1.016,31.7,592.927,130.206
630,6.7,1.016,31.7,592.927,132.116
800,6.7,1.016,31.7,592.927,132.886
1000,6.7,1.016,31.7,592.927,131.636
1250,6.7,1.016,31.7,592.927,129.256
1600,6.7,1.016,31.7,592.927,124.346
2000,6.7,1.016,31.7,592.927,120.446
200,8.9,1.016,71.3,103.088,133.503
250,8.9,1.016,71.3,103.088,134.533
315,8.9,1.016,71.3,103.088,136.583
400,8.9,1.016,71.3,103.088,138.123
500,8.9,1.016,71.3,103.088,138.523
630,8.9,1.016,71.3,103.088,138.423
800,8.9,1.016,71.3,103.088,137.813
1000,8.9,1.016,71.3,103.088,135.433
1250,8.9,1.016,71.3,103.088,132.793
1600,8.9,1.016,71.3,103.088,128.763
2000,8.9,1.016,71.3,103.088,124.233
2500,8.9,1.016,71.3,103.088,123.623
3150,8.9,1.016,71.3,103.088,123.263
4000,8.9,1.016,71.3,103.088,120.243
5000,8.9,1.016,71.3,103.088,116.723
6300,8.9,1.016,71.3,103.088,117.253
200,8.9,1.016,39.6,124.596,133.420
250,8.9,1.016,39.6,124.596,134.340
315,8.9,1.016,39.6,124.596,135.380
400,8.9,1.016,39.6,124.596,135.540
500,8.9,1.016,39.6,124.596,133.790
630,8.9,1.016,39.6,124.596,131.920
800,8.9,1.016,39.6,124.596,130.940
1000,8.9,1.016,39.6,124.596,129.580
1250,8.9,1.016,39.6,124.596,127.710
1600,8.9,1.016,39.6,124.596,123.820
2000,8.9,1.016,39.6,124.596,119.040
2500,8.9,1.016,39.6,124.596,119.190
3150,8.9,1.016,39.6,124.596,119.350
4000,8.9,1.016,39.6,124.596,116.220
5000,8.9,1.016,39.6,124.596,113.080
6300,8.9,1.016,39.6,124.596,113.110
200,12.3,1.016,71.3,337.792,130.588
250,12.3,1.016,71.3,337.792,131.568
315,12.3,1.016,71.3,337.792,137.068
400,12.3,1.016,71.3,337.792,139.428
500,12.3,1.016,71.3,337.792,140.158
630,12.3,1.016,71.3,337.792,135.368
800,12.3,1.016,71.3,337.792,127.318
1000,12.3,1.016,71.3,337.792,127.928
1250,12.3,1.016,71.3,337.792,126.648
1600,12.3,1.016,71.3,337.792,124.748
2000,12.3,1.016,71.3,337.792,122.218
2500,12.3,1.016,71.3,337.792,121.318
3150,12.3,1.016,71.3,337.792,120.798
4000,12.3,1.016,71.3,337.792,118.018
5000,12.3,1.016,71.3,337.792,116.108
6300,12.3,1.016,71.3,337.792,113.958
200,12.3,1.016,55.5,368.233,132.304
250,12.3,1.016,55.5,368.233,133.294
315,12.3,1.016,55.5,368.233,135.674
400,12.3,1.016,55.5,368.233,136.414
500,12.3,1.016,55.5,368.233,133.774
630,12.3,1.016,55.5,368.233,124.244
800,12.3,1.016,55.5,368.233,125.114
1000,12.3,1.016,55.5,368.233,125.484
1250,12.3,1.016,55.5,368.233,124.214
1600,12.3,1.016,55.5,368.233,121.824
2000,12.3,1.016,55.5,368.233,118.564
2500,12.3,1.016,55.5,368.233,117.054
3150,12.3,1.016,55.5,368.233,116.914
4000,12.3,1.016,55.5,368.233,114.404
5000,12.3,1.016,55.5,368.233,112.014
6300,12.3,1.016,55.5,368.233,110.124
200,12.3,1.016,39.6,408.268,128.545
250,12.3,1.016,39.6,408.268,129.675
315,12.3,1.016,39.6,408.268,129.415
400,12.3,1.016,39.6,408.268,128.265
500,12.3,1.016,39.6,408.268,122.205
630,12.3,1.016,39.6,408.268,121.315
800,12.3,1.016,39.6,408.268,122.315
1000,12.3,1.016,39.6,408.268,122.435
1250,12.3,1.016,39.6,408.268,121.165
1600,12.3,1.016,39.6,408.268,117.875
2000,12.3,1.016,39.6,408.268,114.085
2500,12.3,1.016,39.6,408.268,113.315
3150,12.3,1.016,39.6,408.268,113.055
4000,12.3,1.016,39.6,408.268,110.905
5000,12.3,1.016,39.6,408.268,108.625
6300,12.3,1.016,39.6,408.268,107.985
200,12.3,1.016,31.7,418.756,124.987
250,12.3,1.016,31.7,418.756,125.857
315,12.3,1.016,31.7,418.756,124.717
400,12.3,1.016,31.7,418.756,123.207
500,12.3,1.016,31.7,418.756,118.667
630,12.3,1.016,31.7,418.756,119.287
800,12.3,1.016,31.7,418.756,120.037
1000,12.3,1.016,31.7,418.756,119.777
1250,12.3,1.016,31.7,418.756,118.767
1600,12.3,1.016,31.7,418.756,114.477
2000,12.3,1.016,31.7,418.756,110.447
2500,12.3,1.016,31.7,418.756,110.317
3150,12.3,1.016,31.7,418.756,110.307
4000,12.3,1.016,31.7,418.756,108.407
5000,12.3,1.016,31.7,418.756,107.147
6300,12.3,1.016,31.7,418.756,107.267
200,15.6,1.016,71.3,437.259,130.898
250,15.6,1.016,71.3,437.259,132.158
315,15.6,1.016,71.3,437.259,133.808
400,15.6,1.016,71.3,437.259,134.058
500,15.6,1.016,71.3,437.259,130.638
630,15.6,1.016,71.3,437.259,122.288
800,15.6,1.016,71.3,437.259,124.188
1000,15.6,1.016,71.3,437.259,124.438
1250,15.6,1.016,71.3,437.259,123.178
1600,15.6,1.016,71.3,437.259,121.528
2000,15.6,1.016,71.3,437.259,119.888
2500,15.6,1.016,71.3,437.259,118.998
3150,15.6,1.016,71.3,437.259,116.468
4000,15.6,1.016,71.3,437.259,113.298
200,15.6,1.016,39.6,528.487,123.514
250,15.6,1.016,39.6,528.487,124.644
315,15.6,1.016,39.6,528.487,122.754
400,15.6,1.016,39.6,528.487,120.484
500,15.6,1.016,39.6,528.487,115.304
630,15.6,1.016,39.6,528.487,118.084
800,15.6,1.016,39.6,528.487,118.964
1000,15.6,1.016,39.6,528.487,119.224
1250,15.6,1.016,39.6,528.487,118.214
1600,15.6,1.016,39.6,528.487,114.554
2000,15.6,1.016,39.6,528.487,110.894
2500,15.6,1.016,39.6,528.487,110.264
3150,15.6,1.016,39.6,528.487,109.254
4000,15.6,1.016,39.6,528.487,106.604
5000,15.6,1.016,39.6,528.487,106.224
6300,15.6,1.016,39.6,528.487,104.204
